lng,lat
11.49337931,48.39259288
11.4934149,48.39258302
11.4934149,48.39258302
11.493551,48.39257639
11.493551,48.39257639
11.4934149,48.39258302
11.569098,48.2872165
11.493571,48.39259512
7.40637918,51.67685415
7.06500694,51.54648483
7.06508956,51.54655869
7.40637918,51.67685415
3.22241651,51.20810178
3.22241651,51.20810178
3.22472898,51.20918195
3.22241651,51.20810178
3.22420901,51.21118282
3.22640438,51.20653458
3.22394651,51.2110635
3.22241651,51.20810178
3.22338943,51.2092981
3.2274035,51.2072215
3.22241651,51.20810178
7.40653304,51.67692584
7.40653304,51.67692584
7.40653304,51.67692584
7.40664306,51.67716635
7.40664306,51.67716635
N/A,N/A
7.40653304,51.67692584
11.63421714,48.30355013
N/A,N/A
11.53489637,48.18317604
N/A,N/A
11.63383787,48.30339852
N/A,N/A
11.64182524,48.1577235
N/A,N/A
N/A,N/A
11.63301356,48.17949708
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
11.60664509,48.19753629
11.63299901,48.17948999
11.63020286,48.16466007
11.63016473,48.16483399
11.56921337,48.28708691
11.56922537,48.28710157
11.56921337,48.28708691
11.56917967,48.28708733
11.5691817,48.28708591
11.56921337,48.28708691
11.50298326,48.1446662
11.41725499,48.16429478
11.41725499,48.16429478
11.41725499,48.16429478
11.41725499,48.16429478
11.75290461,48.39656366
N/A,N/A
11.41725499,48.16429478
11.41725499,48.16429478
11.49768943,48.14365215
11.41725499,48.16429478
11.41722811,48.16440524
11.41725499,48.16429478
11.41738067,48.16434131
11.58315315,48.27740293
11.6612873,48.0987857
11.58325786,48.27742784
11.58325786,48.27742784
11.6609349,48.09881828
11.56318528,48.20810022
11.56962195,48.27229745
11.56156371,48.28591656
11.56859638,48.27274992
11.58315983,48.27738894
11.60173509,48.14037179
11.56150596,48.28589441
11.58315983,48.27738894
11.58344546,48.2773678
11.57635,48.1340868
11.57116294,48.13212709
11.58129887,48.15985836
11.58325598,48.27732646
11.63418821,48.30351669
11.56122973,48.28554847
11.55759611,48.25961898
11.58315983,48.27738894
11.57624084,48.11410934
11.58315932,48.27745138
11.55908805,48.2481374
11.58315983,48.27738894
11.58315983,48.27738894
11.75380343,47.70954183
11.60493853,48.19870537
11.58331098,48.27731852
N/A,N/A
11.55761488,48.25949279
N/A,N/A
11.58326453,48.27741385
11.42637807,48.14286024
11.58324832,48.27747362
11.58315315,48.27740293
11.58318924,48.27731567
11.78890631,48.14626133
12.36492515,47.86033893
N/A,N/A
11.58408659,48.2775817
N/A,N/A
13.03776907,47.8039658
13.03591567,47.79866133
11.58315983,48.27738894
11.5825519,48.2774238
N/A,N/A
11.5836389,48.27737403
11.7918783,48.35165751
11.58315983,48.27738894
11.58325598,48.27732646
9.57476542,49.77673329
8.76009065,50.08616112
8.64977681,50.12333428
8.68501467,50.11358446
8.6504127,50.11684146
11.56922537,48.28710157
11.56921337,48.28708691
11.56917967,48.28708733
11.56917967,48.28708733
11.5691817,48.28708591
11.56921337,48.28708691
11.5691817,48.28708591
11.56917967,48.28708733
11.56915467,48.28708167
11.56917967,48.28708733
11.56917967,48.28708733
11.56917967,48.28708733
11.5691817,48.28708591
11.56917967,48.28708733
11.56917967,48.28708733
2.1330452,41.48928903
2.13927147,41.49106027
N/A,N/A
2.13316826,41.48936102
2.13185206,41.4940346
2.11634285,41.53495183
2.106185,41.84376367
2.13305805,41.48918874
2.13926856,41.49106618
2.13294285,41.48920991
2.05299781,41.4831244
2.13309403,41.48935115
2.137031,41.494168
2.13309403,41.48935115
2.13294285,41.48920991
2.1331116,41.48932844
2.13306278,41.48926632
2.13294403,41.48921658
2.1331116,41.48932844
2.14545857,41.4902768
2.02545526,41.54604601
2.1489328,41.48388218
2.1330452,41.48928903
2.0969046,41.54983743
2.11637464,41.5349353
2.13294403,41.48921658
2.1489328,41.48388218
2.13309403,41.48935115
2.1330452,41.48928903
2.13294403,41.48921658
2.10306015,41.55319787
2.13332987,41.48920234
2.13738576,41.50878393
2.1331768,41.48923848
2.13294403,41.48921658
2.1330452,41.48928903
2.13318282,41.4893464
2.13310063,41.48924226
2.1331768,41.48923848
2.09692127,41.47706181
2.12999303,41.49721049
2.13316891,41.48935517
2.13294403,41.48921658
2.13293409,41.4891838
2.1331116,41.48932844
2.14898895,41.48385166
2.13307563,41.48916602
2.22925211,41.47601309
2.13294403,41.48921658
2.16376374,41.38380829
2.14898895,41.48385166
2.14898895,41.48385166
11.96313082,48.0944896
11.96315367,48.0945684
12.08490973,47.84248048
12.13473556,47.86025251
11.96311732,48.09459659
11.96308187,48.09443148
11.96545094,48.04848927
11.5037832,48.08746908
11.96315241,48.09451483
11.95504098,48.07598564
11.96308955,48.0945348
11.9651606,48.04838899
11.96320125,48.09452538
11.50385843,48.08722164
11.96305791,48.094486
11.98643527,48.07930469
11.96308807,48.09455366
11.9699965,48.0771045
11.96396577,48.09408445
11.96895454,48.0454319
11.96331127,48.09436647
11.88948427,48.30954983
11.62667671,48.09970298
11.66371085,48.04072406
11.50449736,48.08769543
11.53108517,48.18298673
N/A,N/A
11.96307349,48.09445421
N/A,N/A
11.96319932,48.09448149
11.96316977,48.09450789
12.16069529,48.06588607
N/A,N/A
11.96308807,48.09455366
11.96306298,48.09453157
11.96307397,48.09456659
N/A,N/A
9.00585531,49.74204833
9.00344374,49.74679854
8.95553429,49.6844521
8.5628493,49.52531063
8.78555743,49.65497812
8.95569188,49.68451504
8.95569188,49.68451504
9.00420731,49.74330585
8.95569188,49.68451504
8.99047602,49.66015567
N/A,N/A
9.0020324,49.68252608
N/A,N/A
11.5701246,48.28170059
11.56948988,48.28188142
11.60103796,47.29562439
N/A,N/A
N/A,N/A
11.14811139,46.62358289
N/A,N/A
11.15646793,46.68872056
N/A,N/A
11.16929027,46.66147713
11.1667497,46.65595156
11.1446901,46.60277919
11.16267328,46.60111202
11.14354259,46.61398091
N/A,N/A
10.92894396,48.36138757
11.56922537,48.28710157
N/A,N/A
11.56901703,48.18681315
10.75394139,48.17990383
11.5858565,48.2017265
11.56913063,48.18685604
11.70638659,48.0208413
11.57497146,48.18897178
11.58784024,48.1353422
N/A,N/A
11.56904883,48.18685497
11.59443859,48.19333525
11.56796243,48.18792326
11.59609972,48.1940532
11.56904883,48.18685497
11.58579854,48.20194594
9.1782202,48.77298145
9.23003569,48.47317718
9.23041682,48.48192602
N/A,N/A
7.5864644,47.55890443
7.57199881,47.57781174
7.43947731,46.94982232
7.93422514,46.91396028
N/A,N/A
8.27838476,47.18578573
8.2999534,47.02719492
8.30056343,47.02738247
N/A,N/A
8.30066789,47.02757531
8.31009846,47.06324813
8.30059402,47.02756184
N/A,N/A
8.78589166,47.86158983
9.23003569,48.47317718
9.22270285,48.48034803
N/A,N/A
11.5701246,48.28170059
N/A,N/A
11.16701513,46.65603802
11.56975737,48.28187361
11.60104241,47.29562312
N/A,N/A
11.15646793,46.68872056
N/A,N/A
11.16929027,46.66147713
11.1446901,46.60277919
11.16278712,46.60091242
11.1446901,46.60277919
11.14373038,46.61421425
11.56922537,48.28710157
11.56905267,48.18689729
10.92894129,48.36140908
10.75392916,48.17987603
11.58569478,48.20192691
11.56904883,48.18685497
11.70634893,48.02086467
11.57495397,48.18896033
11.58799106,48.13521233
12.36453041,47.85943779
11.56910466,48.18682686
11.59455854,48.1931354
11.56786254,48.18769712
11.59720947,48.19404461
11.56904883,48.18685497
11.58563217,48.20154556
9.17821975,48.77298062
9.23007805,48.47314992
9.23041682,48.48192602
8.66311132,48.34322315
7.58672167,47.55907733
7.57194644,47.57779175
7.43952637,46.94985071
7.9340971,46.91380697
N/A,N/A
8.27823993,47.18547627
8.30023683,47.02746086
N/A,N/A
8.30066789,47.02757531
8.31001786,47.06311444
8.30059402,47.02756184
N/A,N/A
8.78603091,47.86162766
9.23003569,48.47317718
9.22270285,48.48034803
11.4106859,48.15034076
13.57987816,46.91943897
N/A,N/A
18.40342633,45.265968
18.40556957,45.3082719
18.40555464,45.30825379
18.41071465,45.29736156
18.40546001,45.30800848
18.40960971,45.28433499
18.4053952,45.30822468
18.403408,45.2660735
18.4081769,45.28582712
18.41225259,45.31014523
18.40547209,45.30828314
N/A,N/A
18.78957268,45.29278275
18.40563154,45.30831225
18.40803306,45.28588844
18.4117373,45.30996309
18.405529,45.30827139
N/A,N/A
18.40342633,45.265968
N/A,N/A
18.63724171,45.55481498
18.67301946,45.5612927
18.41300056,45.31346749
18.40821872,45.31270506
18.4053952,45.30822468
18.40532749,45.30822437
18.4117661,45.30992068
18.41101359,45.30367182
18.40962758,45.30370489
N/A,N/A
18.4054082,45.30824723
18.405529,45.30827139
18.403408,45.2660735
18.4054851,45.30830568
18.39735304,45.31024159
18.41252206,45.31293621
18.40558528,45.30816427
18.403467,45.26615367
18.41167393,45.30990734
18.40547209,45.30828314
18.40558528,45.30816427
18.40563154,45.30831225
18.403467,45.26615367
18.40583926,45.30827647
18.39710895,45.31018397
18.40800036,45.28580572
18.41148453,45.31319186
18.41140423,45.31176053
18.40536688,45.3082752
18.41125381,45.31381373
18.40558528,45.30816427
18.41120478,45.31155729
18.40528917,45.30825218
18.41533916,45.31674895
18.403467,45.26615367
18.41262649,45.30991704
18.40535129,45.30825898
N/A,N/A
18.40538441,45.30821262
18.40796933,45.28584667
18.41218346,45.3101543
N/A,N/A
18.40558528,45.30816427
18.4057773,45.30823613
18.40576314,45.30824994
18.41152613,45.31324734
N/A,N/A
18.40894647,45.31077286
18.41573093,45.31225599
18.39712658,45.31018089
18.41068759,45.29737455
18.41144049,45.31329649
N/A,N/A
18.41135105,45.31399553
11.96319642,48.09450434
11.96327299,48.09438205
12.08493171,47.84252613
12.134604,47.8601467
11.96310364,48.09452187
11.96310126,48.094516
11.96551214,48.04852408
11.50388481,48.08741238
11.96313622,48.0944965
11.95520497,48.0759732
11.96310364,48.09452187
11.96537268,48.04841797
11.96314136,48.09451572
11.50388481,48.08741238
11.96310126,48.094516
11.98588078,48.07981238
11.96310126,48.094516
11.9699965,48.0771045
11.96391271,48.09413439
11.96914705,48.04562855
11.96308807,48.09455366
11.88949808,48.30983067
11.62690658,48.09977296
N/A,N/A
11.50447391,48.08769189
11.53107812,48.18267276
N/A,N/A
11.96305584,48.09444482
N/A,N/A
11.96310304,48.09442781
11.96319487,48.09443444
12.16119133,48.06568688
N/A,N/A
11.96303282,48.09446391
11.96314223,48.0946269
11.96308807,48.09455366
N/A,N/A
9.00585531,49.74204833
9.00348869,49.74699989
8.95569188,49.68451504
8.56304572,49.52522649
8.78563335,49.65502479
8.95569188,49.68451504
8.95556152,49.68440447
9.00430487,49.74328644
N/A,N/A
8.99041037,49.66023275
8.95556152,49.68440447
9.00208974,49.68240623
11.6612873,48.0987857
11.58326453,48.27741385
11.66075971,48.09868982
11.56326979,48.20821621
11.5696759,48.27235268
11.56155316,48.28591458
11.56860064,48.27277802
11.58315983,48.27738894
11.56150596,48.28589441
11.60180593,48.14039079
11.58315983,48.27738894
11.58343878,48.27738179
11.57635,48.1340868
11.57105598,48.13205656
11.58128445,48.15982685
11.58318924,48.27731567
11.63422381,48.30354479
11.5612235,48.2855705
11.55762204,48.25957974
11.58315983,48.27738894
11.5763546,48.11414522
11.58315983,48.27738894
11.55901481,48.24821626
11.58315983,48.27738894
11.75423572,47.70882907
11.58315983,48.27738894
11.60492361,48.19869331
11.58325786,48.27742784
11.55571173,48.13741621
11.58349139,48.27733492
11.55762204,48.25957974
11.66949615,48.32123623
11.58315983,48.27738894
11.42637807,48.14286024
11.58358258,48.27740416
11.5831236,48.27733206
11.78928114,48.14618253
11.58401806,48.27765177
12.36492515,47.86033893
N/A,N/A
N/A,N/A
13.03778185,47.80405312
13.03586567,47.79866667
11.58315983,48.27738894
11.5825519,48.2774238
N/A,N/A
11.58370454,48.27735763
